state,Children 0-18,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,65+,year,Total People Experiencing Homelessness,gdp,American Indian or Alaska Native,Asian or Pacific Islander,Black or African American,White,gini,international_migration,unemployment_rate,State,Population,Index,Violent,Property,Murder,Rape,Robbery,Aggravated Assault,Burglary,Larceny-Theft,Vehicle Theft,with_death_penalty,Violent_Crimes,Violent_Crime_Rate
Rhode Island,0.224,0.097,0.111,0.288,0.135,0.144,2011,1070,50206.1,10829,37377,87033,918590,0.47,4585,0.112,RI,1050646,30562,2586,27976,20,319,744,1503,6836,18765,2375,0,5172,0.004922685661964163
Rhode Island,0.223,0.098,0.113,0.281,0.134,0.15,2012,1277,51583.0,11226,38554,88342,916771,0.46,4507,0.104,RI,1050304,29696,2657,27039,36,292,715,1614,5929,18478,2632,0,5314,0.005059487538845896
Rhode Island,0.217,0.099,0.116,0.277,0.138,0.154,2013,1384,53034.1,11471,39351,90456,914282,0.48,3938,0.093,RI,1053354,28451,2710,25741,31,333,683,1547,5621,17881,2239,0,5304,0.005035344243245861
Rhode Island,0.218,0.095,0.119,0.272,0.138,0.158,2014,1190,54559.7,11753,40437,92368,911953,0.48,3607,0.077,RI,1054907,25302,2320,22982,26,264,530,1398,4830,16317,1835,0,4538,0.00430180101184275
Rhode Island,0.216,0.096,0.12,0.268,0.142,0.159,2015,1111,56390.8,12163,41550,94297,908876,0.4732,4654,0.06,RI,1055607,22603,2565,20038,31,342,547,1520,3938,14714,1386,0,5005,0.004741347869045961
Rhode Island,0.213,0.096,0.12,0.263,0.145,0.164,2016,1160,57353.5,12423,42496,96319,906578,0.4781,4242,0.053,RI,1056426,22582,2524,20058,29,328,540,1513,3788,14674,1596,0,4934,0.004670464377060012
Rhode Island,0.212,0.093,0.124,0.259,0.145,0.167,2017,1180,58085.0,12739,42574,97985,903256,0.4722,2282,0.045,RI,1056486,21059,2474,18585,21,454,474,1525,3219,13882,1484,0,4948,0.004683450608905371
Rhode Island,0.205,0.091,0.127,0.259,0.146,0.173,2018,1101,59290.8,13094,43548,100732,901964,0.47,4631,0.041,RI,1058287,19951,2326,17625,16,494,453,1363,2817,13270,1538,0,4652,0.0043957829964839405
Rhode Island,0.207,0.088,0.127,0.253,0.148,0.178,2019,1055,61642.8,13312,43598,102576,898672,0.4628,1295,0.036,RI,1059361,18601,2342,16259,25,491,418,1408,2321,12580,1358,0,4684,0.004421533358316947
South Carolina,0.256,0.089,0.111,0.286,0.125,0.133,2008,5660,163886.2,25048,65865,1308465,3129618,0.46,7439,0.068,SC,4503280,222751,32752,189999,307,1683,6596,24166,45970,126360,17669,1,65504,0.014545842141727808
South Carolina,0.254,0.089,0.116,0.279,0.126,0.136,2009,4473,161813.5,25980,68552,1320564,3174776,0.46,7265,0.115,SC,4561242,209109,30799,178310,305,1663,5753,23078,45443,119250,13617,1,61598,0.013504655091749133
South Carolina,0.251,0.093,0.11,0.278,0.131,0.138,2010,4473,165860.0,26761,71110,1332407,3205568,0.46,1382,0.112,SC,4637106,209021,27923,181098,265,1551,5017,21090,46261,121544,13293,1,55846,0.012043287343442224
South Carolina,0.248,0.093,0.11,0.273,0.134,0.141,2011,5093,172075.1,27065,74124,1340554,3230912,0.46,3404,0.104,SC,4673348,211137,27894,183243,320,1678,4631,21265,47351,122255,13637,1,55788,0.011937480367393997
South Carolina,0.247,0.092,0.112,0.269,0.132,0.148,2012,4915,177618.1,27459,77736,1351255,3262577,0.47,6470,0.091,SC,4723417,207523,26474,181049,332,1712,4511,19919,45222,122340,13487,1,52948,0.011209681465769379
South Carolina,0.242,0.094,0.112,0.266,0.133,0.153,2013,6544,185009.1,27762,80818,1362552,3295337,0.47,5742,0.076,SC,4771929,197524,24263,173261,305,1739,3965,17760,40930,119730,12601,1,48032,0.01006553115102928
South Carolina,0.24,0.091,0.114,0.263,0.134,0.159,2014,5057,194352.7,28186,84952,1374446,3339274,0.47,6936,0.064,SC,4829160,192319,24038,168281,322,1522,4018,17513,37163,118173,12945,1,47413,0.009818063596981669
South Carolina,0.236,0.094,0.112,0.26,0.135,0.164,2015,5354,205816.7,28783,89518,1387621,3390084,0.4698,7986,0.06,SC,4894834,187278,24448,162830,407,1717,3950,17652,34942,114778,13110,1,48174,0.00984180464546908
South Carolina,0.237,0.087,0.116,0.256,0.136,0.169,2016,5051,215120.2,29412,94213,1399746,3439660,0.4735,5811,0.048,SC,4961119,185824,24896,160928,366,1711,4035,18108,32976,114032,13920,1,49116,0.009900185825012462
South Carolina,0.233,0.086,0.114,0.256,0.136,0.175,2017,3916,223266.7,29943,98827,1410048,3488284,0.4795,6493,0.043,SC,5021219,185780,25412,160368,380,2576,3884,18572,31165,114931,14272,1,50824,0.010121844914551625
South Carolina,0.234,0.086,0.113,0.252,0.137,0.179,2018,3933,233251.4,30597,103540,1421307,3536258,0.4762,6869,0.034,SC,5084156,181793,25463,156330,411,2650,3592,18810,29957,111427,14946,1,50926,0.010016608459693212
South Carolina,0.23,0.082,0.116,0.249,0.138,0.184,2019,4172,245987.2,31377,108641,1432329,3585355,0.4747,7353,0.028,SC,5148714,177712,26323,151389,464,2460,3294,20105,27461,108953,14975,1,52646,0.010225077563057494
South Dakota,0.271,0.085,0.106,0.282,0.115,0.141,2008,579,36603.0,74790,7918,11798,704618,0.45,697,0.03,SD,804532,15941,2221,13720,37,562,134,1488,2591,10244,885,1,4442,0.0055212222758075505
South Dakota,0.264,0.098,0.113,0.262,0.124,0.139,2009,731,36432.9,76035,8755,12745,709532,0.45,688,0.052,SD,812383,16155,1777,14378,30,501,117,1129,2621,10891,866,1,3554,0.00437478381502321
South Dakota,0.267,0.09,0.113,0.267,0.121,0.142,2010,731,37852.5,77268,9053,13779,716093,0.44,198,0.051,SD,816598,17384,2196,15188,23,385,154,1634,3192,11196,800,1,4392,0.005378411409285842
South Dakota,0.263,0.091,0.115,0.26,0.127,0.145,2011,826,41892.1,78477,9686,14780,720797,0.43,1369,0.048,SD,823593,17404,2105,15299,20,503,167,1415,2927,11423,949,1,4210,0.0051117481571601505
South Dakota,0.261,0.091,0.119,0.251,0.136,0.141,2012,859,43901.5,79748,10928,17090,726093,0.43,2242,0.044,SD,833354,19850,2701,17326,23,600,157,1921,3280,12973,1073,1,5402,0.006482239240466836
South Dakota,0.256,0.092,0.12,0.254,0.134,0.145,2013,1094,45361.0,80916,11512,18180,732143,0.44,228,0.038,SD,845510,19007,2733,16274,18,454,156,2052,3383,11955,936,1,5413,0.0064020531986611635
South Dakota,0.261,0.095,0.117,0.245,0.134,0.148,2014,885,46785.4,81865,12019,18807,736979,0.45,1189,0.034,SD,853304,18837,2801,16036,23,336,199,2101,2817,12209,1010,1,5460,0.006398657453849976
South Dakota,0.262,0.089,0.119,0.241,0.136,0.155,2015,1036,48070.2,82793,12845,19703,739322,0.4436,1734,0.031,SD,857919,20041,3302,16739,33,367,215,2554,2969,12576,1194,1,6471,0.007542670112213391
South Dakota,0.263,0.088,0.123,0.233,0.137,0.157,2016,1072,49151.4,83871,14243,21702,743877,0.4495,3337,0.028,SD,865454,20762,3621,17141,27,379,272,2813,3000,12639,1502,1,7112,0.008217652238016116
South Dakota,0.256,0.086,0.124,0.235,0.137,0.162,2017,943,50232.5,84642,15569,23562,749959,0.4488,3846,0.033,SD,873286,20341,3753,16588,27,575,264,2887,2835,12285,1468,1,7506,0.008595122331057638
South Dakota,0.258,0.091,0.114,0.236,0.138,0.164,2018,1159,52299.3,85454,15489,24265,754178,0.4445,638,0.03,SD,878698,18674,3483,15191,12,617,222,2632,2502,11237,1452,1,6966,0.007927638392257635
South Dakota,0.257,0.082,0.115,0.235,0.136,0.174,2019,995,54001.3,85549,16293,25381,759904,0.436,2334,0.033,SD,884659,19197,3530,15667,17,642,195,2676,2646,11265,1756,1,7060,0.007980476093048281
Tennessee,0.251,0.086,0.119,0.294,0.121,0.129,2008,9705,254242.0,26659,99772,1074684,5046296,0.47,9608,0.066,TN,6240456,296565,44968,251597,412,2085,10809,31662,65265,167080,19252,1,89936,0.014411767345206824
Tennessee,0.252,0.088,0.119,0.287,0.122,0.131,2009,10532,252332.8,27852,103812,1087674,5086681,0.47,9474,0.105,TN,6296254,279090,41933,237157,468,2019,9653,29793,63832,158309,15016,1,83866,0.01331998359659569
Tennessee,0.251,0.088,0.116,0.284,0.127,0.135,2010,10276,257776.0,28335,107514,1100979,5118690,0.47,1190,0.098,TN,6357436,271764,38909,232855,359,2173,8361,28016,64293,153729,14833,1,77818,0.01224046927094508
Tennessee,0.247,0.09,0.117,0.279,0.131,0.137,2011,9113,269814.2,28954,112889,1114123,5144332,0.48,9350,0.093,TN,6399787,269795,38895,230900,380,2095,8082,28338,62830,153928,14142,1,77790,0.012155092036656845
Tennessee,0.246,0.09,0.116,0.276,0.13,0.142,2012,9426,286341.5,29779,117812,1130658,5177503,0.47,8627,0.08,TN,6454914,259138,41213,217925,400,2047,8151,30615,56231,148731,12963,1,82426,0.012769496231863043
Tennessee,0.244,0.092,0.116,0.272,0.131,0.146,2013,9528,295862.7,30385,122650,1141927,5201981,0.48,10586,0.078,TN,6497269,245746,38063,207683,335,1904,7333,27895,51334,144443,11906,1,75530,0.011624884239824456
Tennessee,0.242,0.093,0.115,0.268,0.132,0.15,2014,9415,306153.1,31142,126817,1154227,5232431,0.48,8250,0.067,TN,6547779,240900,39989,200911,369,1870,7268,29757,46798,141464,12649,1,79253,0.012103798860651833
Tennessee,0.241,0.091,0.116,0.266,0.132,0.154,2015,9123,325294.0,31881,131859,1165581,5266033,0.4789,10702,0.058,TN,6595056,236863,40816,196047,418,2032,7499,30098,43753,139259,13035,1,80863,0.01226115441627789
Tennessee,0.24,0.088,0.118,0.265,0.132,0.157,2016,8779,336413.9,32646,136672,1176679,5305280,0.479,8066,0.048,TN,6651194,231932,42097,189835,486,1991,7813,31084,40312,134404,15119,1,83471,0.012549776776921557
Tennessee,0.239,0.086,0.121,0.261,0.134,0.159,2017,8309,350838.7,33791,142171,1189556,5349230,0.4822,9540,0.037,TN,6708794,241968,43940,198028,538,3028,7867,32507,38819,140636,18573,1,87880,0.013099224689266059
Tennessee,0.237,0.087,0.12,0.26,0.134,0.163,2018,7883,363055.5,34757,148496,1201168,5393759,0.4778,10424,0.035,TN,6771631,235584,42687,192897,508,3011,7222,31946,33538,138710,20649,1,85374,0.012607597785526116
Tennessee,0.235,0.086,0.124,0.254,0.134,0.167,2019,7467,380128.5,35680,152154,1210654,5431837,0.4749,3777,0.034,TN,6829174,221800,40647,181153,498,2813,6150,31186,29869,132104,19180,1,81294,0.011903928644957647
Texas,0.296,0.097,0.128,0.281,0.099,0.1,2008,40190,1244294.9,243884,1000104,3027152,20037899,0.47,88695,0.049,TX,24304290,1093506,123586,969920,1370,8055,37739,76422,230054,654482,85384,1,247172,0.010169891817452804
Texas,0.296,0.098,0.13,0.275,0.1,0.101,2009,36761,1169607.7,261852,1051726,3101293,20386890,0.47,88116,0.075,TX,24782302,1116766,121684,995082,1330,8311,38022,74021,240058,678455,76569,1,243368,0.009820233810402278
Texas,0.291,0.099,0.126,0.276,0.106,0.103,2010,35121,1245959.4,276817,1100149,3170463,20694468,0.47,14908,0.082,TX,25253466,1064477,113231,951246,1249,7622,32843,71517,228597,654626,68023,1,226462,0.008967561126064835
Texas,0.29,0.098,0.127,0.273,0.108,0.105,2011,36911,1341334.4,282087,1148678,3234968,20979771,0.48,69106,0.079,TX,25631778,997544,104734,892810,1130,7486,28620,67498,215775,613131,63924,1,209468,0.008172199369080054
Texas,0.286,0.099,0.128,0.271,0.109,0.109,2012,34052,1421180.1,287835,1206733,3311727,21277825,0.48,84838,0.068,TX,26060796,982934,106475,876459,1148,7715,30385,67227,205002,606425,65032,1,212950,0.008171277653990307
Texas,0.283,0.099,0.128,0.268,0.11,0.112,2013,29615,1515195.6,293743,1267716,3386034,21532153,0.48,79571,0.062,TX,26505637,971046,108757,862289,1140,7610,31810,65351,191062,605440,65787,1,214668,0.008098956459714588
Texas,0.281,0.098,0.129,0.266,0.111,0.115,2014,28495,1579299.5,300306,1344062,3473134,21845590,0.48,106776,0.051,TX,26979078,923226,109711,813515,1192,8400,31021,65862,168085,577018,68412,1,216186,0.008013098149610598
Texas,0.28,0.097,0.129,0.265,0.113,0.117,2015,23678,1573498.4,306761,1424647,3566630,22170493,0.4823,117265,0.045,TX,27429639,892427,113193,779234,1317,8941,31924,67629,153067,558653,67514,1,223004,0.00813003773035438
Texas,0.279,0.097,0.13,0.262,0.113,0.12,2016,23122,1579014.9,312609,1496000,3656534,22448921,0.48,110382,0.046,TX,27862596,889989,121042,768947,1478,9858,33317,72880,148740,551151,69056,1,238575,0.00856255461623174
Texas,0.277,0.095,0.13,0.262,0.114,0.122,2017,23548,1673234.3,318249,1561314,3740639,22670822,0.4781,96215,0.043,TX,28322717,847127,123984,723143,1405,14536,32120,75923,133458,521767,67918,1,247968,0.008755092246270017
Texas,0.275,0.094,0.13,0.262,0.114,0.125,2018,25310,1809396.7,323985,1613295,3818499,22868785,0.4822,69138,0.039,TX,28628666,799340,118197,681143,1327,15098,28339,73433,117897,493238,70008,1,236394,0.008257248172164222
Texas,0.272,0.094,0.13,0.261,0.114,0.129,2019,25848,1858757.8,331717,1667003,3898379,23089695,0.4753,66791,0.035,TX,28995881,814678,121474,693204,1409,14824,28988,76253,113902,501813,77489,1,242948,0.008378707306737808
Vermont,0.222,0.084,0.102,0.319,0.135,0.139,2008,954,25999.3,3039,8261,7759,605092,0.43,417,0.045,VT,621049,16757,854,15903,17,133,93,611,3515,11802,586,0,1708,0.0027501855731190293
Vermont,0.22,0.095,0.1,0.299,0.142,0.143,2009,8852,26099.2,3098,8606,8372,604741,0.43,421,0.069,VT,621760,15847,837,15010,8,132,111,586,3471,11090,449,0,1674,0.0026923571796191458
Vermont,0.22,0.08,0.105,0.298,0.151,0.147,2010,1220,27406.6,3011,8787,8508,605580,0.44,109,0.064,VT,625909,14980,820,14160,7,141,76,596,3348,10373,439,0,1640,0.002620189196832127
Vermont,0.213,0.084,0.102,0.293,0.156,0.152,2011,1144,28418.7,3059,9406,8921,605811,0.43,1295,0.056,VT,626592,16011,925,15086,11,146,99,669,3838,10720,528,0,1850,0.002952479444359328
Vermont,0.21,0.088,0.103,0.28,0.157,0.161,2012,1160,29241.3,3041,9690,9121,604509,0.44,337,0.05,VT,625953,16544,891,15653,8,131,114,638,4179,11014,460,0,1782,0.0028468591092302457
Vermont,0.215,0.079,0.106,0.279,0.156,0.167,2013,1454,29289.6,3040,10024,9458,604081,0.45,432,0.044,VT,626855,14657,775,13882,10,113,75,554,3352,10193,337,0,1527,0.0024359700409185537
Vermont,0.207,0.085,0.107,0.271,0.16,0.171,2014,1559,30099.4,3052,10321,9710,602610,0.44,390,0.041,VT,626767,10364,643,9721,10,85,72,444,2092,7375,254,0,1254,0.002000743497982504
Vermont,0.201,0.083,0.113,0.266,0.162,0.176,2015,1523,30933.3,3068,11447,10142,601153,0.4452,2251,0.037,VT,626088,9811,747,9064,10,104,105,482,2034,6834,196,0,1448,0.0023127739231545725
Vermont,0.204,0.085,0.106,0.261,0.159,0.186,2016,1117,31661.2,3115,11942,10379,598930,0.4539,758,0.033,VT,624594,11591,989,10602,14,124,106,691,2103,8217,282,0,1924,0.003080401028508119
Vermont,0.2,0.087,0.109,0.253,0.16,0.19,2017,1225,32266.1,3140,12928,10714,598350,0.4525,1919,0.03,VT,624525,10421,1082,9339,17,254,100,711,1945,7169,225,0,2164,0.0034650334254033065
Vermont,0.195,0.081,0.114,0.252,0.159,0.198,2018,1291,33066.8,3164,13058,10996,597584,0.4473,551,0.027,VT,624358,9366,1155,8211,11,326,73,745,1496,6451,264,0,2310,0.003699800435006839
Vermont,0.195,0.086,0.111,0.247,0.158,0.204,2019,1089,34230.8,3172,13275,11406,596193,0.4471,635,0.024,VT,623989,10150,1262,8888,11,278,71,902,1275,7315,298,0,2524,0.0040449430999584925
Virginia,0.255,0.089,0.114,0.302,0.118,0.122,2008,8469,404634.9,41989,455516,1602530,5733461,0.46,22029,0.04,VA,7795424,216738,20038,196700,370,1794,7470,10404,32184,151171,13345,1,40076,0.0051409647506024045
Virginia,0.254,0.092,0.117,0.295,0.119,0.122,2009,1214,410967.4,44517,475414,1623781,5782225,0.46,20928,0.069,VA,7882590,212215,18195,194020,370,1572,6342,9911,31956,150374,11690,1,36390,0.004616502951441087
Virginia,0.249,0.09,0.119,0.294,0.124,0.124,2010,9080,426992.4,46517,496252,1645955,5835280,0.46,5990,0.071,VA,8023953,204587,17184,187403,376,1580,5678,9550,30804,145990,10609,1,34368,0.004283175636746626
Virginia,0.247,0.091,0.12,0.289,0.127,0.126,2011,8816,435180.3,47269,514284,1660329,5880555,0.46,23466,0.064,VA,8104384,198916,16014,182902,304,1591,5425,8694,30656,142476,9770,1,32028,0.0039519351501607035
Virginia,0.245,0.09,0.123,0.285,0.126,0.132,2012,8424,445973.6,47864,534684,1678037,5926871,0.47,37768,0.059,VA,8186628,194110,15676,178434,322,1505,4718,9131,29651,139654,9129,1,31352,0.0038296597817807283
Virginia,0.243,0.09,0.122,0.281,0.128,0.136,2013,7625,457640.5,48540,552117,1694873,5960331,0.47,26352,0.057,VA,8270345,187913,16355,171558,320,1476,4574,9111,26717,136215,8626,1,31836,0.003849416197268675
Virginia,0.242,0.092,0.122,0.276,0.129,0.14,2014,7020,465181.8,49215,572115,1711915,5982185,0.47,35428,0.052,VA,8328098,178456,16522,161934,350,1687,4294,9462,23210,131001,7723,1,32315,0.0038802377205455554
Virginia,0.241,0.09,0.121,0.274,0.13,0.144,2015,7001,483786.5,49900,592206,1729111,5996086,0.4681,39097,0.044,VA,8367587,174508,16705,157803,390,1767,4459,9357,21542,128064,8197,1,32678,0.003905307467971352
Virginia,0.239,0.088,0.121,0.272,0.133,0.149,2016,6268,496021.1,50744,611331,1743812,6011764,0.4705,36646,0.04,VA,8411808,174714,18302,156412,484,1965,4803,10278,20018,126606,9788,1,35832,0.004259726327562398
Virginia,0.237,0.088,0.121,0.269,0.133,0.153,2017,6067,511114.9,51576,629761,1760115,6029559,0.4674,33741,0.038,VA,8465207,170326,17811,152515,470,3026,4331,9984,18524,123812,10179,1,35622,0.004208048308800954
Virginia,0.236,0.086,0.122,0.265,0.133,0.158,2018,5975,532906.5,52155,642589,1774602,6041574,0.4754,17189,0.03,VA,8501286,160288,17357,142931,417,3072,3610,10258,15659,116496,10776,1,34714,0.0040833822082917805
Virginia,0.234,0.084,0.12,0.265,0.135,0.163,2019,5783,557764.4,53034,658310,1789585,6055713,0.469,25830,0.028,VA,8535519,157966,17753,140213,426,2816,3524,10987,13900,116044,10269,1,35506,0.004159793915285058
Washington,0.252,0.087,0.123,0.298,0.121,0.119,2008,21954,354794.1,140912,549453,294548,5577318,0.44,20332,0.054,WA,6566073,268624,21739,247885,193,2627,6397,12522,52756,166384,28745,1,43478,0.006621613862654283
Washington,0.251,0.091,0.125,0.289,0.123,0.12,2009,22782,351245.0,144735,571869,305941,5644881,0.44,19956,0.094,WA,6664195,267627,22412,245215,190,2583,6711,12928,53047,168421,23747,1,44824,0.006726093699238993
Washington,0.25,0.091,0.123,0.285,0.128,0.124,2010,22878,365497.8,148450,591545,313343,5689671,0.44,6084,0.099,WA,6742950,270564,21138,249426,154,2579,5929,12476,55192,168490,25744,1,42276,0.006269659422063044
Washington,0.245,0.092,0.126,0.28,0.131,0.126,2011,20439,379574.9,151778,614495,323849,5737357,0.44,20171,0.092,WA,6823267,264361,20152,244209,163,2320,5627,12042,56561,162828,24820,1,40304,0.005906847848691836
Washington,0.243,0.092,0.126,0.277,0.131,0.132,2012,20504,400530.6,154960,636874,334507,5772258,0.45,22202,0.082,WA,6895318,274930,20553,254377,217,2250,5801,12285,61376,166338,26663,1,41106,0.005961436441364995
Washington,0.241,0.091,0.128,0.272,0.131,0.137,2013,17760,419092.4,157968,659522,343356,5805406,0.46,19729,0.07,WA,6973742,279362,20223,259139,167,2072,5829,11623,58487,172227,28425,1,39914,0.005723469551927788
Washington,0.24,0.092,0.128,0.268,0.132,0.141,2014,18442,440648.0,161288,689410,352805,5854028,0.45,30898,0.062,WA,7063166,281442,20185,261257,178,1999,5641,11586,55381,175317,30559,1,39589,0.005604993568040168
Washington,0.237,0.091,0.13,0.265,0.132,0.145,2015,19419,466689.7,164614,722486,363793,5916394,0.4561,33108,0.057,WA,7160290,269979,20505,249474,218,2006,5450,12059,51114,171393,26967,1,40238,0.0056196047925433186
Washington,0.236,0.089,0.13,0.264,0.132,0.149,2016,20827,487275.1,168286,756975,377112,5997588,0.4591,29102,0.054,WA,7288000,276676,22023,254653,195,2259,5651,13100,49180,173187,32286,1,43228,0.00593139407244786
Washington,0.235,0.087,0.133,0.262,0.131,0.151,2017,21112,519409.6,172482,795024,391382,6069063,0.4561,30495,0.048,WA,7425432,257689,22483,235206,226,3300,5386,13571,43687,162154,29365,1,44966,0.006055674605868049
Washington,0.232,0.084,0.139,0.26,0.13,0.155,2018,22304,564313.9,175405,830028,405041,6116319,0.4574,23605,0.045,WA,7523869,246975,23719,223256,236,3610,5557,14316,40434,154941,27881,1,47438,0.006305000791481085
Washington,0.23,0.084,0.138,0.26,0.129,0.16,2019,21577,595231.8,177856,861815,417649,6156704,0.4577,23434,0.043,WA,7614893,226601,22377,204224,198,3332,5147,13700,34540,145282,24402,0,44754,0.005877167282586899
West Virginia,0.222,0.084,0.112,0.291,0.138,0.153,2008,2016,62694.8,4211,13671,68836,1753592,0.45,540,0.042,WV,1814873,51376,5027,46349,67,392,899,3669,10914,32241,3194,0,10054,0.005539781571492881
West Virginia,0.224,0.086,0.112,0.283,0.14,0.156,2009,6525,63600.7,4260,14146,70465,1758904,0.46,558,0.076,WV,1819777,51769,5554,46215,84,470,914,4086,12005,31453,2757,0,11108,0.006104044616455752
West Virginia,0.223,0.084,0.106,0.279,0.147,0.162,2010,2264,65998.7,4130,14398,71552,1764185,0.45,124,0.084,WV,1854368,46887,5586,41301,58,362,776,4390,10778,28104,2419,0,11172,0.006024694127594954
West Virginia,0.22,0.088,0.105,0.275,0.15,0.162,2011,2211,69234.1,4234,15414,72448,1764510,0.47,2133,0.078,WV,1854908,44506,5497,39009,87,372,802,4236,10245,26656,2108,0,10994,0.005926978588695504
West Virginia,0.219,0.087,0.106,0.27,0.151,0.167,2012,2410,70322.2,4355,15938,72993,1764160,0.46,1133,0.073,WV,1856680,50443,5943,44500,70,415,835,4623,11466,30800,2234,0,11886,0.00640174935907103
West Virginia,0.217,0.087,0.106,0.267,0.151,0.173,2013,2240,71481.5,4440,16305,73811,1760212,0.46,885,0.067,WV,1853595,45586,5657,39929,62,367,653,4242,9908,28055,1966,0,10981,0.0059241635848176115
West Virginia,0.217,0.087,0.106,0.262,0.149,0.179,2014,2013,72648.2,4496,16754,74291,1755028,0.45,1238,0.065,WV,1848751,44132,5850,38282,84,417,655,4517,9368,26954,1960,0,11523,0.006232856669178272
West Virginia,0.216,0.086,0.104,0.262,0.149,0.183,2015,1835,71318.5,4571,17107,74581,1747073,0.4581,1476,0.067,WV,1841053,45091,6397,38694,85,493,783,4819,9467,26984,2243,0,12577,0.006831416586051569
West Virginia,0.217,0.085,0.104,0.258,0.148,0.188,2016,1387,70924.4,4617,17558,74558,1735702,0.4711,1290,0.06,WV,1831102,44044,6557,37487,81,468,720,5099,9301,25677,2509,0,12925,0.007058590946872429
West Virginia,0.219,0.084,0.101,0.255,0.148,0.194,2017,1309,74820.1,4649,17436,74520,1722078,0.4686,592,0.052,WV,1817048,39124,6564,32560,98,793,673,5000,7557,21917,3086,0,13128,0.007224905451039268
West Virginia,0.213,0.082,0.105,0.253,0.146,0.201,2018,1243,79192.9,4647,17229,74622,1709455,0.4742,54,0.053,WV,1804291,33299,5411,27888,76,716,333,4286,5916,19783,2189,0,10822,0.005997923838227869
West Virginia,0.212,0.081,0.105,0.251,0.146,0.205,2019,1397,79325.6,4753,17504,74895,1698111,0.4644,1185,0.049,WV,1792147,34050,5674,28376,78,754,378,4464,5891,20066,2419,0,11348,0.006332069858108738
Wisconsin,0.248,0.092,0.113,0.299,0.118,0.13,2008,5449,246814.5,64716,134081,381998,5060201,0.43,6744,0.048,WI,5627610,170868,15499,155369,146,1128,5163,9062,27455,116420,11539,0,30998,0.005508199750871151
Wisconsin,0.246,0.094,0.114,0.292,0.122,0.132,2009,1667,247210.0,66166,138569,389316,5075213,0.43,6798,0.087,WI,5654774,162342,14650,147692,146,1118,4904,8482,26813,111947,8932,0,29300,0.005181462601334731
Wisconsin,0.249,0.091,0.112,0.286,0.127,0.135,2010,6333,256432.9,67872,142719,395812,5084135,0.43,1244,0.085,WI,5691659,156948,14167,142781,155,1191,4516,8305,26636,107993,8152,0,28334,0.004978161903234189
Wisconsin,0.247,0.09,0.114,0.28,0.132,0.137,2011,5785,266364.4,69134,148087,400905,5087714,0.44,4390,0.075,WI,5709843,154180,14268,139912,138,1190,4600,8340,27167,104472,8273,0,28536,0.004997685575592884
Wisconsin,0.244,0.088,0.116,0.276,0.134,0.142,2012,6027,277107.1,70342,153742,405121,5091620,0.44,6073,0.069,WI,5724554,157034,16254,140780,169,1228,4692,10165,27931,104619,8230,0,32508,0.005678695667819711
Wisconsin,0.241,0.089,0.116,0.271,0.136,0.147,2013,6104,284270.9,71388,160923,408892,5096809,0.44,8235,0.068,WI,5742953,141812,16118,125694,163,1308,4834,9285,24358,93946,7390,0,31708,0.005521201374972074
Wisconsin,0.238,0.092,0.115,0.267,0.137,0.151,2014,6055,295696.0,72433,167558,413390,5099818,0.44,7986,0.055,WI,5759432,137298,16763,120535,159,1216,5101,9826,21375,89255,9905,0,33065,0.005741017517005149
Wisconsin,0.236,0.088,0.114,0.265,0.141,0.155,2015,6057,307507.9,73499,174129,417320,5097979,0.441,9310,0.046,WI,5767891,131720,17549,114171,240,1324,5234,10270,19602,83572,10997,0,34617,0.0060016737486890785
Wisconsin,0.234,0.09,0.115,0.258,0.144,0.16,2016,5685,314073.3,74682,180144,421190,5099154,0.4498,8141,0.041,WI,5778708,129399,17679,111720,229,1458,4706,10765,19425,82337,9958,0,34837,0.006028510179091936
Wisconsin,0.234,0.088,0.114,0.255,0.144,0.165,2017,5027,318310.4,75911,185950,425944,5105342,0.4467,8239,0.033,WI,5792051,123546,18638,104908,192,2177,4370,11899,17570,77868,9470,0,37276,0.006435716812576408
Wisconsin,0.231,0.086,0.114,0.256,0.144,0.169,2018,4907,332498.6,77012,188960,430314,5113033,0.4483,6011,0.03,WI,5807406,108603,17365,91238,175,2333,3493,11364,14180,68380,8678,0,34730,0.005980294816653081
Wisconsin,0.23,0.085,0.116,0.251,0.143,0.175,2019,4538,345236.4,78087,193828,433429,5119237,0.4391,4466,0.033,WI,5822434,102742,17070,85672,175,2261,2991,11643,12667,65620,7385,0,34140,0.005863527177809143
Wyoming,0.262,0.094,0.116,0.284,0.122,0.123,2008,751,42819.3,15245,5239,6502,519057,0.44,399,0.031,WY,532981,15823,1312,14511,12,184,86,1030,2200,11588,723,1,2624,0.004923252423632362
Wyoming,0.251,0.099,0.12,0.278,0.129,0.122,2009,515,36252.0,15669,5607,7133,531442,0.42,361,0.063,WY,544270,15439,1196,14243,11,172,78,935,2176,11310,757,1,2392,0.0043948775423962375
Wyoming,0.259,0.094,0.121,0.272,0.131,0.124,2010,579,37680.7,15816,5771,7069,535875,0.42,219,0.07,WY,564554,14986,1117,13869,8,162,77,870,2151,11126,592,1,2234,0.003957105963291377
Wyoming,0.251,0.094,0.127,0.262,0.14,0.126,2011,1038,39751.4,16219,5889,7435,537948,0.41,-85,0.061,WY,567356,14123,1245,12878,18,146,71,1010,1864,10493,521,1,2490,0.004388778826697875
